Title,Year,Director,Genre,Watch Date,Watch Status (AB),AB Rating (1-10),Watch Status (DM),DM Rating (1-10)
Tampopo,1985,Jūzō Itami,"Comedy, Ramen Western",07/04/2026,Watched,9.5,Watched,
Oddity,2024,Damian McCarthy,"Horror, Thriller",28/03/2026,Watched,6.5,Watched,
The Watermelon Woman,1996,Cheryl Dunye,"Comedy, Romance, Drama, LGBT+",21/03/2026,Watched,8.5,Watched,
Undertone,2025,Ian Tuason,Horror,20/03/2026,Watched,7.5,Watched,
Videodrome,1983,David Cronenberg,"Body Horror, Sci-Fi",18/03/2026,Watched,8.5,Watched,
"""Wuthering Heights""",2026,Emerald Fennell,"Romance, Drama, Period",18/03/2026,Watched,8,Watched,
The Master,2012,Paul Thomas Anderson,"Drama, Psychological, Period",16/03/2026,Watched,8,Watched,
One Battle After Another ,2025,Paul Thomas Anderson,"Thriller, Comedy, Action",03/03/2026,Watched,7.5,Watched,
The Thing,1982,John Carpenter,"Sci-Fi, Horror",27/02/2026,Watched,9,Watched,
28 Years Later: The Bone Temple,2026,Nia DaCosta,"Horror, Apocalypse/Post-apocalyptic",27/02/2026,Watched,6.5,Watched,
Marty Supreme,2025,Josh Safdie,"Comedy, Drama",14/02/2026,Watched,8,Watched,
Happiness,1998,Todd Solondz,"Black Comedy, Drama",10/02/2026,Watched,3,Watched,
The Long Walk ,2025,Francis Lawrence,"Thriller, Dystopian, Survival",29/01/2026,Watched,4,Watched,
The Mastermind,2025,Kelly Reichardt,"Drama, Heist",31/12/2025,Watched,7.5,Watched,
Saint Maud,2019,Rose Glass,"Psychological, Horror",30/12/2025,Watched,6,Watched,
No Other Choice,2025,Park Chan-wook,"Black Comedy, Thriller",20/12/2025,Watched,7,Watched,
Wake Up Dead Man,2025,Rian Johnson,"Whodunnit, Mystery",18/12/2025,Watched,5.5,Watched,
In the Mood for Love,2000,Wong Kar-wai,"Romance, Drama",08/12/2025,Watched,8,Watched,
How to Shoot a Ghost,2025,Charlie Kaufman,"Romance, Fantasy, Surrealist",04/12/2025,Watched,5,Watched,
Bugonia,2025,Yorgos Lanthimos,"Black Comedy, Thriller",30/11/2025,Watched,8,Watched,
Hard Eight,1996,Paul Thomas Anderson,"Crime, Neo-noir",24/11/2025,Watched,7,Watched,
Secretary,2002,Steven Shainberg,"Erotic, Comedy, Drama",12/11/2025,Watched,8.5,Watched,
M3GAN 2.0,2025,Gerard Johnstone,"Comedy, Sci-Fi, Slasher",11/11/2025,Watched,3,Watched,
Pulse,2001,Kiyoshi Kurosawa,"Horror, Supernatural, Techno-horror",30/10/2025,Watched,8,Watched,
Cemetery Man,1994,Michele Soavi,"Black Comedy, Romance, Gothic, Surrealist",29/10/2025,Watched,7.5,Watched,
Cloud,2024,Kiyoshi Kurosawa,Thriller,15/10/2025,Watched,7,Watched,
Together,2025,"Benoît Delépine, Gustave Kervern","Body Horror, Supernatural",21/09/2025,Watched,7,Watched,
The Celebration,1998,Thomas Vinterberg,Drama,16/09/2025,Watched,10,Watched,
Mile End Kicks,2025,Chandler Levack,"Comedy, Drama",13/09/2025,Watched,8,Watched,
Crimson Peak,2015,Guillermo del Toro,"Gothic, Horror",12/09/2025,Watched,8,Watched,
Frankenstein,2025,Guillermo del Toro,"Gothic, Horror",10/09/2025,Watched,9,Watched,
Harold and Maud,1971,Hal Ashby,"Black Comedy, Romance",07/09/2025,Watched,7.5,Unwatched,
Sentimental Value,2025,Joachim Trier,"Comedy, Drama",05/09/2025,Watched,9.5,Watched,
Sick of Myself,2022,Kristoffer Borgli,Black Comedy,03/09/2025,Watched,7.5,Watched,
The Monkey,2025,Osgood Perkins,"Supernatural, Horror",02/09/2025,Watched,6,Watched,
Wepons,2025,Zach Cregger,"Horror, Supernatural, Thriller",01/09/2025,Watched,7.5,Watched,
The Thursday Murder Club,2025,Chris Columbus,"Crime, Comedy",31/08/2025,Watched,2.5,Watched,
Mysterious Skin,2004,Gregg Araki,"LGBT+, Drama, Coming-of-age",28/08/2025,Watched,9,Unwatched,
28 Years Later,2025,Danny Boyle,"Horror, Apocalypse/Post-apocalyptic",16/08/2025,Watched,7,Watched,
Eddington,2025,Ari Aster,"Western, Satire",31/07/2025,Watched,3,Watched,
Badlands,1973,Terrence Malick,"Road Movie, Crime",26/07/2025,Watched,6.5,Watched,
We're All Going to the World's Fair,2021,Jane Schoenbrun,"Coming-of-age, Horror",23/07/2025,Watched,8,Watched,
When Evil Lurks,2023,Demián Rugna,"Supernatural, Horror",19/07/2025,Watched,8,Watched,
Bring Her Back ,2025,Danny & Michael Philippou,"Horror, Supernatural",19/07/2025,Watched,8,Watched,
Memento,2000,Christopher Nolan,"Neo-noir, Mystery",18/07/2025,Watched,8.5,Unwatched,
Pet Sematary,1989,Mary Lambert,"Horror, Supernatural",05/07/2025,Watched,6.5,Unwatched,
Erin Brockovich,2000,Steven Soderbergh,Drama,29/06/2025,Watched,8,Watched,
28 Days Later,2002,Danny Boyle,"Horror, Apocalypse/Post-apocalyptic",29/06/2025,Watched,7,Watched,
Dogma,1999,Kevin Smith,"Satire, Comedy, Fantasy",09/06/2025,Watched,7.5,Watched,
The Hunger,1993,Tony Scott,"Horror, Gothic, Erotic",06/06/2025,Watched,8,Watched,
Party Girl,1995,Daisy von Scherler Mayer,Comedy,05/06/2025,Watched,7,Watched,
Paddington in Peru,2024,Dougal Wilson,Adventure,05/06/2025,Watched,8,Watched,
Mickey 17,2025,Bong Joon-ho,"Comedy, Sci-Fi",31/05/2025,Watched,7,Watched,
Friendship,2024,Andrew DeYoung,"Comedy, Satire",29/05/2025,Watched,8,Watched,
Blink Twice,2024,Zoë Kravitz,"Psychological, Thriller",27/05/2025,Watched,6.5,Watched,
Shepherds,2024,Sophie Deraspe,Drama,09/05/2025,Watched,7,Watched,
Saturday Night,2024,Jason Reitman,"Comedy, Biopic",19/04/2025,Watched,7,Unwatched,
Heretic,2024,"Scott Beck, Bryan Woods","Psychological, Horror",04/04/2025,Watched,7,Watched,
The Sweet East,2023,Sean Price Williams,"Satire, Drama",03/04/2025,Watched,7.5,Watched,
A Real Pain,2024,Jesse Eisenberg,"Comedy, Drama",28/02/2025,Watched,9,Watched,
Companion,2025,Drew Hancock,"Sci-Fi, Thriller",20/02/2025,Watched,6,Watched,
Days of Heaven,1978,Terrence Malick,"Romance, Drama",12/02/2025,Watched,6,Watched,
Sometimes I Think About Dying,2023,Rachel Lambert,"Comedy, Drama, Surrealist",12/02/2025,Watched,7,Watched,
Presence,2024,Steven Soderbergh,"Psychological, Thriller",03/02/2025,Watched,6.5,Watched,
Cube,1997,Vincenzo Natali,"Sci-Fi, Horror",01/02/2025,Watched,8,Watched,
Adaptation,2002,Spike Jonze,"Comedy, Meta",28/01/2025,Watched,9,Watched,
My Bloody Valentine,1981,George Mihalka,"Horror, Slasher",24/01/2025,Watched,6.5,Watched,
Radio Rebel,2012,Peter Howitt,Comedy,24/01/2025,Watched,1,Unwatched,
Evil Does Not Exist,2023,Ryusuke Hamaguchi,Drama,23/01/2025,Watched,7,Watched,
Nosferatu,2024,Robert Eggers,"Gothic, Horror, Supernatural",08/01/2025,Watched,9,Watched,
Climax,2018,Gaspar Noé,"Music, Horror, Psychological",29/12/2024,Watched,8,Watched,
Queer,2024,Luca Guadagnino,"Drama, LGBT+, Period",21/12/2024,Watched,6.5,Watched,
Beetlejuice,1988,Tim Burton,"Horror, Comedy, Gothic",18/12/2024,Watched,8,Watched,
Anora,2024,Sean Baker,"Comedy, Drama",17/12/2024,Watched,8,Watched,
Cyberbully,2011,Charles Binamé,"Drama, Coming-of-age",11/12/2024,Watched,10,Unwatched,
"Love, Actually",2003,Richard Curtis,"Romance, Comedy",08/12/2024,Watched,2,Watched,
Ju-on: The Grudge,2002,Takashi Shimizu,"Horror, Supernatural",05/12/2024,Watched,9,Watched,
The Wild Robot,2024,Chris Sanders,"Animated, Sci-Fi",02/12/2024,Watched,9,Watched,
Time Cut,2024,Hannah Macpherson,"Sci-Fi, Slasher",06/11/2024,Watched,2,Unwatched,
Terrifier 3,2024,Damien Leone,Slasher,30/10/2024,Watched,6.5,Watched,
The Fog,1980,John Carpenter,"Horror, Supernatural",25/10/2024,Watched,7.5,Watched,
House,1977,Nobuhiko Obayashi,"Horror, Comedy, Experimental",24/10/2024,Watched,10,Watched,
Dark Water,2002,Hideo Nakata,"Supernatural, Horror",23/10/2024,Watched,7,Watched,
Woman of the Hour,2023,Anna Kendrick,"Psychological, Crime, Thriller",21/10/2024,Watched,4.5,Watched,
Cuckoo,2024,Tilman Singer,"Horror, Thriller",21/10/2024,Watched,4,Watched,
The Texas Chainsaw Massacre,1974,Tobe Hooper,"Horror, Slasher",09/10/2024,Watched,8,Watched,
Megalopolis,2024,Francis Ford Coppola,"Sci-Fi, Epic",09/10/2024,Watched,2,Watched,
Creepy,2016,Kiyoshi Kurosawa,"Mystery, Thriller",03/10/2024,Watched,6.5,Watched,
It Ends with Us,2024,Justin Baldoni,"Romance, Drama",01/10/2024,Watched,3,Unwatched,
Only the River Flows,2023,Wei Shujun,Neo-noir,29/09/2024,Watched,7,Watched,
The Substance,2024,Coralie Fargeat,Body Horror,28/09/2024,Watched,9,Watched,
Uglies,2024,McG,"Dystopian, Sci-Fi",15/09/2024,Watched,2,Unwatched,
The Life of Chuck,2024,Mike Flanagan,Drama,13/09/2024,Watched,9.5,Watched,
Good Time,2017,Josh & Benny Safdie,"Crime, Thriller",05/09/2024,Watched,8,Watched,
Wild at Heart,1990,David Lynch,"Neo-noir, Road Movie",28/08/2024,Watched,7,Watched,
Challenger,2024,Luca Guadagnino,Drama,27/08/2024,Watched,8,Watched,
Immaculate,2024,Michael Mohan,"Psychological, Horror, Supernatural",21/08/2024,Watched,6,Watched,
Alien: Romulus,2024,Fede Álvarez,"Sci-Fi, Horror",21/08/2024,Watched,8,Watched,
Perfect Days,2023,Wim Wenders,Drama,19/08/2024,Watched,9,Watched,
Bottle Rocket,1996,Wes Anderson,"Comedy, Crime",15/08/2024,Watched,5,Watched,
Aliens,1986,James Cameron,"Sci-Fi, Action",14/08/2024,Watched,7,Watched,
Pecker,1998,John Waters,"Comedy, LGBT+",12/08/2024,Watched,6,Watched,
Alien,1979,Ridley Scott,"Horror, Sci-Fi",10/08/2024,Watched,8.5,Watched,
An American Werewolf in London,1981,John Landis,"Horror, Comedy",10/08/2024,Watched,7,Watched,
Beau Travail,1999,Claire Denis,Drama,10/08/2024,Watched,8,Watched,
MaXXXine,2024,Ti West,Slasher,09/08/2024,Watched,6.5,Watched,
"Paris, Texas",1984,Wim Wenders,"Road Movie, Drama, Indie",05/08/2024,Watched,9.5,Watched,
I Still Know What You Did Last Summer,1998,Danny Cannon,Slasher,05/08/2024,Watched,4,Watched,
I Know What You Did Last Summer,1997,Jim Gillespie,Slasher,04/08/2024,Watched,6.5,Watched,
Airplane!,1980,"David Zucker, Jim Abrahams, Jerry Zucker","Comedy, Drama",29/07/2024,Watched,9,Watched,
Ginger Snaps,2000,John Fawcett,"Horror, Supernatural, Fantasy",28/07/2024,Watched,9,Watched,
Fargo,1996,Joel & Ethan Coen,"Black Comedy, Crime",24/07/2024,Watched,9.5,Watched,
Longlegs,2024,Osgood Perkins,"Supernatural, Horror, Thriller",19/07/2024,Watched,6.5,Watched,
The Vanishing,1988,George Sluizer,"Thriller, Psychological",18/07/2024,Watched,7.5,Watched,
Skinamarink,2022,Kyle Edward Ball,"Horror, Suspence",18/07/2024,Watched,1,Watched,
Jaws,1975,Steven Spielberg,Thriller,13/07/2024,Watched,8.5,Unwatched,
Dealth Becomes Her,1992,Robert Zemeckis,"Black Comedy, Fantasy, Surrealist",12/07/2024,Watched,8,Unwatched,
Nowhere,1997,Gregg Araki,"Black Comedy, LGBT+",12/07/2024,Watched,9,Unwatched,
Posession,1981,Andrzej Żuławski,"Horror, Psychological",06/07/2024,Watched,9,Watched,
Pearl,2022,Ti West,"Horror, Slasher, Psychological",05/07/2024,Watched,6.5,Watched,
X,2022,Ti West,Slasher,05/07/2024,Watched,7,Watched,
Exhuma ,2024,Jang Jae-hyun,"Supernatural, Horror",30/06/2024,Watched,7,Watched,
But I'm a Cheerleader,1999,Jamie Babbit,"Comedy, LGBT+, Satire",29/06/2024,Watched,9,Unwatched,
Kinds of Kindness,2024,Yorgos Lanthimos,Black Comedy,27/06/2024,Watched,8,Watched,
I Use to Be Funny,2023,Ally Pankiw,Comedy,25/06/2024,Watched,6.5,Watched,
After Hours,1985,Martin Scorsese,"Surrealist, Neo-noir, Black Comedy",19/06/2024,Watched,9.5,Unwatched,
Late Night with the Devil,2023,Cameron & Colin Cairnes,"Horror, Supernatural",15/06/2024,Watched,6,Watched,
I Saw the TV Glow,2024,Jane Schoenbrun,"Horror, Drama, LGBT+",08/06/2024,Watched,9,Watched,
Mean Girls ,2024,"Samantha Jayne, Arturo Perez Jr.","Music, Comedy",04/06/2024,Watched,5,Unwatched,
Lisa Frankenstein,2024,Zelda Williams,"Comedy, Horror",03/06/2024,Watched,6,Unwatched,
Decision to Leave,2022,Park Chan-wook,"Mystery, Romance, Thriller",31/05/2024,Watched,9,Watched,
Past Lives,2023,Celine Song,"Drama, Romance",31/05/2024,Watched,8.5,Watched,
Battle Royal ,2000,Kinji Fukasaku,"Action, Thriller",30/05/2024,Watched,7,Watched,
Godzilla Minus One,2023,Takashi Yamazaki,"Kaiju, Sci-Fi, Action",29/05/2024,Watched,9,Watched,
The Idea of You,2024,Michael Showalter,"Romance, Comedy",01/05/2024,Watched,7,Unwatched,
Anyone But You,2023,Will Gluck,"Romance, Comedy",28/04/2024,Watched,1,Watched,
Love Lies Bleeding,2024,Rose Glass,"Romance, Thriller",18/04/2024,Watched,7.5,Watched,
Madame Web,2024,S.J. Clarkson,"Action, Comedy",14/04/2024,Watched,10,Watched,
Turtles All the Way Down,2024,Hannah Marks,"Drama, Romance",09/04/2024,Watched,7,Watched,
Drive My Car ,2021,Ryusuke Hamaguchi,Drama,12/03/2024,Watched,9,Watched,
Dune: Part 2,2024,Denis Villeneuve,"Sci-Fi, Adventure, Space Opera",08/03/2024,Watched,7.5,Watched,
Worst Person in the World,2021,Joachim Trier,"Romance, Comedy, Drama",08/03/2024,Watched,7.5,Watched,
Poor Things,2023,Yorgos Lanthimos,"Black Comedy, Steampunk",03/03/2024,Watched,6.5,Watched,
"Synecdoche, New York",2008,Charlie Kaufman,"Psychological, Drama, Meta",27/02/2024,Watched,9,Watched,
Fallen Angels,1995,Wong Kar-wai,"Crime, Romance, Drama",20/02/2024,Watched,8.5,Watched,
Dreams,1990,Akira Kurosawa,"Fantasy, Anthology",16/02/2024,Watched,9,Watched,9
Twilight Saga: New Moon,2009,Chris Weitz,"Fantasy, Romance",09/02/2024,Watched,10,Watched,
American Fiction,2023,Cord Jefferson,"Satire, Comedy, Drama",08/02/2024,Watched,7,Watched,
Fallen Leaves,2023,Aki Kaurismäki,"Romance, Comedy",06/02/2024,Watched,7.5,Watched,
